util_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.2433483624375786,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_max
0.26009517376746855,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_99_min
0.24024617833532905,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_linear
0.23805356449498555,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_max
0.240442093667604,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_author_one_9_min
0.24310263896514797,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_linear
0.24310263896514797,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_max
0.25850494915069233,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_99_min
0.24057916667249515,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_linear
0.2390830475471283,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_max
0.24429788224434743,ac,lm_mrfr_err_aug0.5_mpt_10_0.1,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.1_doc_9_min
0.282816233647983,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_99_linear
0.282816233647983,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_99_max
0.28941899401368926,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_99_min
0.2549970073449189,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_linear
0.25390851555316196,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_max
0.2620642992179987,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_min
0.28194426698210984,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_linear
0.28194426698210984,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_max
0.2858533374737788,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_min
0.2560348876927917,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_linear
0.25483561521688153,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_max
0.25322878613989924,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_min
0.28166627675406214,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_linear
0.28166627675406214,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_max
0.2907287304342402,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_min
0.25538274987138343,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_linear
0.25397654649108486,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_max
0.26216357774362054,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_min
