diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.4183435,1.5491155,1.11198455,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_linear
0.41902485,1.55990515,1.1170387,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_max
0.40772125,1.5550944,1.12028505,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_min
0.39214015,1.52690565,1.1139812,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_linear
0.39214015,1.52690565,1.1139812,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_max
0.47950045,1.59005625,1.1018763,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_min
0.4238361,1.56158345,1.11547225,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_linear
0.42361975,1.5673516,1.1184645,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_max
0.54475585,1.69547,1.1219556,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_min
0.398117,1.52757305,1.11132645,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_linear
0.398117,1.52757305,1.11132645,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_max
0.41652385,1.51421,1.0954416,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_min
0.4188228,1.5490722,1.1117232,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_linear
0.41967095,1.5608061,1.1171661,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_max
0.40779635,1.55227645,1.11883855,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_min
0.3864987,1.5249324,1.11581535,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_linear
0.3864987,1.5249324,1.11581535,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_max
0.43659995,1.5411533,1.09887515,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_min
0.4129113,1.54869305,1.11448945,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_linear
0.41368305,1.55460645,1.1170603,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_max
0.4030733,1.55388645,1.122005,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_min
0.40631405,1.5419119,1.1143975,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_linear
0.40631405,1.5419119,1.1143975,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_max
0.42482685,1.5055225,1.0869464,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_min
0.4235425,1.5618781,1.11576625,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_linear
0.4259854,1.5781467,1.1226792,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_max
0.42581715,1.57734735,1.1223635,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_min
0.4059843,1.5408356,1.11402425,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_linear
0.4059843,1.5408356,1.11402425,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_max
0.4803938,1.57800615,1.0954047,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_99_min
0.4216811,1.5709343,1.12122495,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_linear
0.4225424,1.57828105,1.12446785,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_max
0.57121725,1.7227113,1.12234545,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_none_9_min
0.4103015,1.54383205,1.11336385,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_linear
0.4103015,1.54383205,1.11336385,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_max
0.4223458,1.50408425,1.08746775,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_99_min
0.4253888,1.5606281,1.1142181,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_linear
0.4278144,1.5768539,1.1211183,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_max
0.42537985,1.5754685,1.1216428,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_one_9_min
