diff_mean,disp_mean,rel_mean,ranker,source,group,subgroup,theta,hfunc,augmentation,val_metric,feature_method,num_features,balancing_factor,ranker_config
0.48099145000000004,0.27278250000000004,0.17356789999999997,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_99_min
0.45757895,0.2216115,0.1596887,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_linear
0.4611286999999999,0.22361739999999997,0.1589168,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_max
0.45626395000000003,0.22557465000000004,0.16232775,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_ind_9_min
0.47218075000000004,0.28181625,0.1824901,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_linear
0.47218075000000004,0.28181625,0.1824901,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_max
0.5675408500000001,0.35478200000000004,0.1712929,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_99_min
0.46281945,0.22610139999999998,0.1593133,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_linear
0.4659276499999999,0.22756984999999993,0.1584934,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_max
0.6186906000000001,0.36433655000000004,0.15049535,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,none,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_none_9_min
0.47111924999999993,0.27850775000000005,0.18136655000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_linear
0.47111924999999993,0.27850775000000005,0.18136655000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_max
0.4797253,0.2738023,0.1747109,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_99_min
0.4575151,0.2221344,0.1599821,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_linear
0.46188379999999996,0.22432989999999994,0.15889555,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_max
0.45680565,0.22638130000000004,0.16246025,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,author,one,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_author_one_9_min
0.46593745000000003,0.27392945,0.18166845,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_linear
0.46593745000000003,0.27392945,0.18166845,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_max
0.48284885,0.2704599,0.17147785000000001,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_99_min
0.45548845,0.21809415000000004,0.1589752,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_linear
0.4582213500000001,0.21895320000000001,0.15803835000000002,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_max
0.45125885,0.22330014999999998,0.16369299999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.5,doc,,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.5_doc_9_min
0.4697701,0.27484274999999997,0.18020889999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_linear
0.4697701,0.27484274999999997,0.18020889999999998,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_max
0.4646508,0.27113475,0.18091440000000003,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,99,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_99_min
0.45332574999999997,0.21870065000000002,0.16035994999999997,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,linear,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_linear
0.4605165499999999,0.22364345000000002,0.15923595,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,max,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_max
0.45861874999999996,0.2232389,0.1599824,ac,lm_mrfr_err_aug0.5_mpt_10_0.9,author,ind,9,min,,,,,,ac_lm_mrfr_err_aug0.5_mpt_10_0.9_author_ind_9_min
