augmentation,feature_method,num_features,balancing_factor,val_metric,difference,disparity,relevance,difference_ind,disparity_ind,relevance_ind,util,qid,fm_yes_no
-,msd,20,0.9,ndcg,0.6390417,2.1755652999999997,1.3148604000000002,1.3495891,1.2377284,0.2217422,0.34851456661104674,39200.95,1.0
aug0.5,-,-,-,err,0.9938314,2.2952776,1.19732165,1.6447148999999999,1.30256985,0.1066,0.18326861867218908,39200.95,0.0
aug0.5,-,-,-,ndcg,0.8445657000000001,2.1391265,1.1938788500000002,1.58289,1.28047055,0.12646275,0.22360557977172735,39200.95,0.0
aug0.5,mpt,10,0.1,err,0.9625712,2.4073251,1.2689753,1.66765345,1.30780475,0.09774825000000001,0.147512686102355,39200.95,1.0
aug0.5,mpt,10,0.1,ndcg,1.0781892,2.2746281,1.14481805,1.6259587,1.30466215,0.11702409999999999,0.17578077357119587,39200.95,1.0
aug0.5,mpt,10,0.5,err,0.8482576999999999,2.1483594,1.1966494,1.40979785,1.25976155,0.20265444999999999,0.30763221792890283,39200.95,1.0
aug0.5,mpt,10,0.5,ndcg,0.9434008,1.9449371500000001,1.0473666,1.15050025,1.1958791500000001,0.30036205,0.45350814581426724,39200.95,1.0
aug0.5,mpt,10,0.9,err,0.7594022,2.1692595,1.2515271000000001,1.38465905,1.2515959,0.21114095000000002,0.3184727269202455,39200.95,1.0
aug0.5,mpt,10,0.9,ndcg,0.7540899999999999,1.9406108499999999,1.13985895,1.21384075,1.2271819499999999,0.28434315,0.3886311972795214,39200.95,1.0
aug0.5,mpt,15,0.1,err,0.9739156,2.0118281500000004,1.06555485,1.4409660499999999,1.2652125,0.18979565,0.2856867839105282,39200.95,1.0
aug0.5,mpt,15,0.1,ndcg,0.73166515,1.8558433,1.10868765,1.28786845,1.2405823999999999,0.2540294,0.35179407069784235,39200.95,1.0
aug0.5,mpt,15,0.5,err,0.9500727,2.2816465999999997,1.2123854,1.4897233,1.28017665,0.17289915,0.2579379503149284,39200.95,1.0
aug0.5,mpt,15,0.5,ndcg,0.7466460500000001,1.9721840499999999,1.1593675,1.2018845,1.2209407,0.28720065,0.408379727256711,39200.95,1.0
aug0.5,mpt,15,0.9,err,0.8542607500000001,2.015334,1.1271350500000001,1.42391165,1.26945865,0.20044610000000002,0.2961715887182148,39200.95,1.0
aug0.5,mpt,15,0.9,ndcg,0.68546595,1.9414957999999998,1.1746133,1.2639860500000002,1.2208219,0.25609044999999997,0.3795807725714542,39200.95,1.0
